accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription,Form_4_Available
000104581024000050,2024-03-06,2024-03-04,2024-03-06T18:46:07.000Z,,4,,,,8667,0,0,xslF345X05/wk-form4_1709768756.xml,FORM 4,False
000122520824003814,2024-03-06,2024-03-05,2024-03-06T18:01:02.000Z,,4,,,,10872,0,0,xslF345X05/doc4.xml,,False
000104581024000041,2024-02-27,2024-02-23,2024-02-27T17:08:35.000Z,,4,,,,10191,0,0,xslF345X05/wk-form4_1709071698.xml,FORM 4,False
000104581024000040,2024-02-27,2024-02-23,2024-02-27T17:06:39.000Z,,4,,,,8001,0,0,xslF345X05/wk-form4_1709071584.xml,FORM 4,False
000104581024000038,2024-02-27,2023-12-13,2024-02-27T17:04:29.000Z,,4,,,,9290,0,0,xslF345X05/wk-form4_1709071452.xml,FORM 4,False
000104581024000037,2024-02-27,2024-02-23,2024-02-27T17:02:34.000Z,,4,,,,40523,0,0,xslF345X05/wk-form4_1709071330.xml,FORM 4,False
000104581024000011,2024-01-16,2024-01-12,2024-01-16T17:33:16.000Z,,4,,,,6780,0,0,xslF345X05/wk-form4_1705444387.xml,FORM 4,False
000104581024000009,2024-01-12,2024-01-10,2024-01-12T17:42:33.000Z,,4,,,,13250,0,0,xslF345X05/wk-form4_1705099343.xml,FORM 4,False
000104581024000006,2024-01-09,2024-01-08,2024-01-09T17:54:47.000Z,,4,,,,5908,0,0,xslF345X05/wk-form4_1704840872.xml,FORM 4,False
000104581024000004,2024-01-09,2024-01-05,2024-01-09T17:53:19.000Z,,4,,,,4975,0,0,xslF345X05/wk-form4_1704840790.xml,FORM 4,False
000104581023000275,2023-12-20,2023-12-18,2023-12-20T17:20:38.000Z,,4,,,,6280,0,0,xslF345X05/wk-form4_1703110828.xml,FORM 4,False
000104581023000273,2023-12-19,2023-12-15,2023-12-19T17:57:31.000Z,,4,,,,4668,0,0,xslF345X05/wk-form4_1703026643.xml,FORM 4,False
000104581023000272,2023-12-19,2023-12-15,2023-12-19T17:54:57.000Z,,4,,,,11366,0,0,xslF345X05/wk-form4_1703026482.xml,FORM 4,False
000104581023000267,2023-12-15,2023-09-29,2023-12-15T19:44:25.000Z,,4,,,,11913,0,0,xslF345X05/wk-form4_1702687456.xml,FORM 4,False
000104581023000265,2023-12-15,2023-12-13,2023-12-15T19:42:31.000Z,,4,,,,5157,0,0,xslF345X05/wk-form4_1702687341.xml,FORM 4,False
000104581023000263,2023-12-15,2023-12-13,2023-12-15T19:41:03.000Z,,4,,,,6094,0,0,xslF345X05/wk-form4_1702687254.xml,FORM 4,False
000104581023000261,2023-12-15,2023-12-13,2023-12-15T19:38:45.000Z,,4,,,,7001,0,0,xslF345X05/wk-form4_1702687114.xml,FORM 4,False
000104581023000258,2023-12-15,2023-12-13,2023-12-15T19:36:21.000Z,,4,,,,7454,0,0,xslF345X05/wk-form4_1702686970.xml,FORM 4,False
000104581023000256,2023-12-15,2023-12-13,2023-12-15T19:28:03.000Z,,4,,,,10192,0,0,xslF345X05/wk-form4_1702686473.xml,FORM 4,False
000104581023000254,2023-12-15,2023-12-13,2023-12-15T19:24:47.000Z,,4,,,,6331,0,0,xslF345X05/wk-form4_1702686271.xml,FORM 4,False
000104581023000243,2023-12-01,2023-11-29,2023-12-01T20:26:23.000Z,,4,,,,21258,0,0,xslF345X05/wk-form4_1701480372.xml,FORM 4,False
000104581023000241,2023-12-01,2023-11-29,2023-12-01T20:18:20.000Z,,4,,,,9826,0,0,xslF345X05/wk-form4_1701479890.xml,FORM 4,False
000104581023000237,2023-11-30,2023-11-28,2023-11-30T17:35:29.000Z,,4,,,,4961,0,0,xslF345X05/wk-form4_1701383720.xml,FORM 4,False
000104581023000235,2023-11-28,2023-11-24,2023-11-28T19:39:16.000Z,,4,,,,4789,0,0,xslF345X05/wk-form4_1701218344.xml,FORM 4,False
000104581023000234,2023-11-28,2023-11-24,2023-11-28T19:38:10.000Z,,4,,,,8219,0,0,xslF345X05/wk-form4_1701218278.xml,FORM 4,False
000104581023000233,2023-11-28,2023-11-27,2023-11-28T19:36:58.000Z,,4,,,,35150,0,0,xslF345X05/wk-form4_1701218204.xml,FORM 4,False
000104581023000232,2023-11-28,2023-11-27,2023-11-28T19:34:49.000Z,,4,,,,6519,0,0,xslF345X05/wk-form4_1701218077.xml,FORM 4,False
000104581023000214,2023-10-10,2023-10-06,2023-10-10T19:33:59.000Z,,4,,,,7698,0,0,xslF345X05/wk-form4_1696980829.xml,FORM 4,False
000104581023000212,2023-09-22,2023-09-20,2023-09-22T19:36:27.000Z,,4,,,,6095,0,0,xslF345X05/wk-form4_1695425776.xml,FORM 4,False
000104581023000211,2023-09-22,2023-09-20,2023-09-22T19:35:38.000Z,,4,,,,5340,0,0,xslF345X05/wk-form4_1695425729.xml,FORM 4,False
000104581023000210,2023-09-22,2023-09-20,2023-09-22T19:34:42.000Z,,4,,,,7001,0,0,xslF345X05/wk-form4_1695425674.xml,FORM 4,False
000104581023000209,2023-09-22,2023-09-20,2023-09-22T19:33:55.000Z,,4,,,,7636,0,0,xslF345X05/wk-form4_1695425626.xml,FORM 4,False
000104581023000208,2023-09-22,2023-09-20,2023-09-22T19:33:10.000Z,,4,,,,10192,0,0,xslF345X05/wk-form4_1695425581.xml,FORM 4,False
000104581023000207,2023-09-22,2023-09-21,2023-09-22T19:31:48.000Z,,4,,,,10166,0,0,xslF345X05/wk-form4_1695425498.xml,FORM 4,False
000104581023000206,2023-09-22,2023-09-20,2023-09-22T19:30:03.000Z,,4,,,,8681,0,0,xslF345X05/wk-form4_1695425394.xml,FORM 4,False
000104581023000198,2023-09-18,2023-09-14,2023-09-18T17:00:42.000Z,,4,,,,29590,0,0,xslF345X05/wk-form4_1695070833.xml,FORM 4,False
000104581023000196,2023-09-13,2023-09-12,2023-09-13T20:57:52.000Z,,4,,,,35222,0,0,xslF345X05/wk-form4_1694653063.xml,FORM 4,False
000104581023000195,2023-09-13,2023-09-12,2023-09-13T20:55:52.000Z,,4,,,,24792,0,0,xslF345X05/wk-form4_1694652942.xml,FORM 4,False
000104581023000194,2023-09-13,2023-09-12,2023-09-13T20:48:43.000Z,,4,,,,5730,0,0,xslF345X05/wk-form4_1694652514.xml,FORM 4,False
000104581023000190,2023-09-11,2023-09-07,2023-09-11T20:01:45.000Z,,4,,,,39814,0,0,xslF345X05/wk-form4_1694476893.xml,FORM 4,False
000104581023000189,2023-09-11,2023-09-07,2023-09-11T19:59:38.000Z,,4,,,,28195,0,0,xslF345X05/wk-form4_1694476766.xml,FORM 4,False
000104581023000186,2023-09-06,2023-09-01,2023-09-06T19:55:42.000Z,,4,,,,41952,0,0,xslF345X05/wk-form4_1694044531.xml,FORM 4,False
000104581023000185,2023-09-06,2023-09-01,2023-09-06T19:54:41.000Z,,4,,,,54305,0,0,xslF345X05/wk-form4_1694044469.xml,FORM 4,False
000104581023000181,2023-08-30,2023-08-28,2023-08-30T17:13:28.000Z,,4,,,,8594,0,0,xslF345X05/wk-form4_1693429998.xml,FORM 4,False
000104581023000180,2023-08-30,2023-08-28,2023-08-30T17:08:53.000Z,,4,,,,28361,0,0,xslF345X05/wk-form4_1693429721.xml,FORM 4,False
000104581023000179,2023-08-30,2023-08-29,2023-08-30T17:06:32.000Z,,4,,,,5588,0,0,xslF345X05/wk-form4_1693429581.xml,FORM 4,False
000104581023000168,2023-08-09,2023-08-08,2023-08-09T17:24:52.000Z,,4,,,,7045,0,0,xslF345X05/wk-form4_1691616273.xml,FORM 4,False
000122520823007007,2023-06-27,2023-06-23,2023-06-27T18:32:29.000Z,,4,,,,6619,0,0,xslF345X04/doc4.xml,,False
000104581023000157,2023-06-27,2023-06-23,2023-06-27T18:30:09.000Z,,4,,,,6825,0,0,xslF345X04/wk-form4_1687905000.xml,FORM 4,False
000104581023000156,2023-06-27,2023-06-23,2023-06-27T18:28:39.000Z,,4,,,,5120,0,0,xslF345X04/wk-form4_1687904907.xml,FORM 4,False
000104581023000155,2023-06-27,2023-06-23,2023-06-27T18:27:25.000Z,,4,,,,6030,0,0,xslF345X04/wk-form4_1687904833.xml,FORM 4,False
000104581023000154,2023-06-27,2023-06-23,2023-06-27T18:24:02.000Z,,4,,,,8045,0,0,xslF345X04/wk-form4_1687904630.xml,FORM 4,False
000104581023000153,2023-06-27,2023-06-23,2023-06-27T18:21:37.000Z,,4,,,,6911,0,0,xslF345X04/wk-form4_1687904486.xml,FORM 4,False
000104581023000152,2023-06-27,2023-06-23,2023-06-27T18:19:16.000Z,,4,,,,5980,0,0,xslF345X04/wk-form4_1687904348.xml,FORM 4,False
000104581023000151,2023-06-27,2023-06-23,2023-06-27T18:17:15.000Z,,4,,,,5963,0,0,xslF345X04/wk-form4_1687904224.xml,FORM 4,False
000104581023000150,2023-06-27,2023-06-23,2023-06-27T18:15:04.000Z,,4,,,,5084,0,0,xslF345X04/wk-form4_1687904095.xml,FORM 4,False
000104581023000149,2023-06-27,2023-06-23,2023-06-27T18:13:56.000Z,,4,,,,8539,0,0,xslF345X04/wk-form4_1687904025.xml,FORM 4,False
000104581023000148,2023-06-27,2023-06-23,2023-06-27T17:48:16.000Z,,4,,,,6640,0,0,xslF345X04/wk-form4_1687902485.xml,FORM 4,False
000104581023000147,2023-06-27,2023-06-23,2023-06-27T17:43:32.000Z,,4,,,,5397,0,0,xslF345X04/wk-form4_1687902203.xml,FORM 4,False
000104581023000131,2023-06-23,2023-06-21,2023-06-23T20:22:23.000Z,,4,,,,7454,0,0,xslF345X04/wk-form4_1687566133.xml,FORM 4,False
000104581023000130,2023-06-23,2023-06-21,2023-06-23T19:52:25.000Z,,4,,,,6170,0,0,xslF345X04/wk-form4_1687564336.xml,FORM 4,False
000104581023000129,2023-06-23,2023-06-21,2023-06-23T19:44:52.000Z,,4,,,,5159,0,0,xslF345X04/wk-form4_1687563883.xml,FORM 4,False
000104581023000128,2023-06-23,2023-06-21,2023-06-23T19:44:09.000Z,,4,,,,6095,0,0,xslF345X04/wk-form4_1687563840.xml,FORM 4,False
000104581023000126,2023-06-23,2023-06-21,2023-06-23T19:41:47.000Z,,4,,,,13466,0,0,xslF345X04/wk-form4_1687563695.xml,FORM 4,False
000104581023000125,2023-06-23,2023-06-21,2023-06-23T19:40:53.000Z,,4,,,,9775,0,0,xslF345X04/wk-form4_1687563642.xml,FORM 4,False
000104581023000118,2023-06-21,2023-06-16,2023-06-21T17:01:22.000Z,,4,,,,12380,0,0,xslF345X04/wk-form4_1687381273.xml,FORM 4,False
000122520823006913,2023-06-16,2023-06-14,2023-06-16T17:00:26.000Z,,4,,,,6655,0,0,xslF345X04/doc4.xml,,False
000104581023000115,2023-06-15,2023-06-14,2023-06-15T16:59:01.000Z,,4,,,,5535,0,0,xslF345X04/wk-form4_1686862732.xml,FORM 4,False
000104581023000113,2023-06-14,2023-06-13,2023-06-14T16:54:11.000Z,,4,,,,21080,0,0,xslF345X04/wk-form4_1686776037.xml,FORM 4,False
000104581023000111,2023-06-12,2023-06-08,2023-06-12T16:59:33.000Z,,4,,,,5110,0,0,xslF345X04/wk-form4_1686603565.xml,FORM 4,False
000104581023000109,2023-06-09,2023-06-07,2023-06-09T16:12:47.000Z,,4,,,,4960,0,0,xslF345X04/wk-form4_1686341558.xml,FORM 4,False
000104581023000107,2023-06-06,2023-06-02,2023-06-06T16:58:07.000Z,,4,,,,5466,0,0,xslF345X04/wk-form4_1686085076.xml,FORM 4,False
000104581023000105,2023-06-05,2023-06-01,2023-06-05T20:02:27.000Z,,4,,,,4788,0,0,xslF345X04/wk-form4_1686009736.xml,FORM 4,False
000104581023000103,2023-06-01,2023-05-30,2023-06-01T16:36:46.000Z,,4,,,,28353,0,0,xslF345X04/wk-form4_1685651792.xml,FORM 4,False
000122520823006291,2023-05-31,2023-05-26,2023-05-31T18:26:14.000Z,,4,,,,7760,0,0,xslF345X04/doc4.xml,,False
000104581023000101,2023-05-31,2023-05-26,2023-05-31T17:20:34.000Z,,4,,,,5069,0,0,xslF345X04/wk-form4_1685568019.xml,FORM 4,False
000104581023000099,2023-05-31,2023-05-26,2023-05-31T17:15:08.000Z,,4,,,,9318,0,0,xslF345X04/wk-form4_1685567697.xml,FORM 4,False
000104581023000085,2023-05-22,2023-05-18,2023-05-22T16:35:44.000Z,,4,,,,5831,0,0,xslF345X04/wf-form4_168478772714126.xml,FORM 4,False
000104581023000065,2023-03-31,2023-03-30,2023-03-31T18:40:43.000Z,,4,,,,4963,0,0,xslF345X04/wf-form4_168030243036492.xml,FORM 4,False
000104581023000063,2023-03-17,2023-03-15,2023-03-17T20:02:42.000Z,,4,,,,7428,0,0,xslF345X03/wf-form4_167909774406116.xml,FORM 4,False
000104581023000062,2023-03-17,2023-03-15,2023-03-17T20:02:19.000Z,,4,,,,11740,0,0,xslF345X03/wf-form4_167909772294715.xml,FORM 4,False
000104581023000061,2023-03-17,2023-03-15,2023-03-17T20:01:59.000Z,,4,,,,6069,0,0,xslF345X03/wf-form4_167909770835360.xml,FORM 4,False
000104581023000060,2023-03-17,2023-03-15,2023-03-17T20:01:44.000Z,,4,,,,10164,0,0,xslF345X03/wf-form4_167909768797475.xml,FORM 4,False
000104581023000059,2023-03-17,2023-03-15,2023-03-17T20:01:25.000Z,,4,,,,5316,0,0,xslF345X03/wf-form4_167909766843082.xml,FORM 4,False
000104581023000058,2023-03-17,2023-03-15,2023-03-17T20:01:05.000Z,,4,,,,6976,0,0,xslF345X03/wf-form4_167909764857455.xml,FORM 4,False
000120919123018940,2023-03-15,2023-03-13,2023-03-15T17:06:19.000Z,,4,,,,6545,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION,False
000104581023000049,2023-03-14,2023-03-10,2023-03-14T16:18:28.000Z,,4,,,,6113,0,0,xslF345X03/wf-form4_167882508161457.xml,FORM 4,False
000104581023000048,2023-03-14,2023-03-10,2023-03-14T16:17:58.000Z,,4,,,,18116,0,0,xslF345X03/wf-form4_167882506077586.xml,FORM 4,False
000104581023000047,2023-03-14,2023-03-10,2023-03-14T16:17:32.000Z,,4,,,,6045,0,0,xslF345X03/wf-form4_167882503026455.xml,FORM 4,False
000104581023000046,2023-03-14,2023-03-10,2023-03-14T16:17:07.000Z,,4,,,,7002,0,0,xslF345X03/wf-form4_167882501015163.xml,FORM 4,False
